config_idx,K,w_zero,a_zero,seed,realism_pass,L1_H,L2_H,L3_H,L4_H,L6_H,L4_zero_frac,cos_L1,cos_L2,cos_L3,cos_L4,cos_L6
0,64,0.20,0.20,1,1,1.5289,1.5171,1.5822,1.2568,1.5717,0.0566,0.651755,0.786869,0.664899,0.949938,0.770555
0,64,0.20,0.20,2,1,1.5213,1.5052,1.5841,1.2948,1.5831,0.0703,0.751465,0.830736,0.639660,0.955271,0.871511
0,64,0.20,0.20,3,1,1.5288,1.5190,1.5820,1.2913,1.5842,0.0684,0.763424,0.797089,0.773828,0.973743,0.798602
0,64,0.20,0.20,4,1,1.5186,1.5305,1.5819,1.2457,1.5303,0.0547,0.735310,0.763102,0.759455,0.975267,0.884528
0,64,0.20,0.20,5,1,1.5213,1.5152,1.5834,1.3168,1.5305,0.0781,0.582808,0.711236,0.733192,0.945417,0.854850
1,64,0.20,0.60,1001,1,1.5184,1.3558,1.2116,1.3926,1.1692,0.1113,0.735690,0.542326,0.372760,0.901531,0.584602
1,64,0.20,0.60,1002,1,1.5262,1.3565,1.2079,1.4104,1.1753,0.1211,0.554518,0.427088,0.569499,0.797080,0.358771
1,64,0.20,0.60,1003,1,1.5251,1.3924,1.2486,1.3019,1.1952,0.0723,0.608209,0.579246,0.470985,0.840784,0.617323
1,64,0.20,0.60,1004,1,1.5285,1.3280,1.1764,1.2996,1.2202,0.0723,0.735421,0.570598,0.419527,0.937969,0.579067
1,64,0.20,0.60,1005,1,1.5290,1.3405,1.1900,1.3746,1.3623,0.1035,0.630128,0.492234,0.454668,0.916609,0.709334
2,64,0.60,0.20,2001,1,1.3684,1.5160,1.2269,1.3460,1.5588,0.0898,0.269674,0.703057,0.347171,0.929784,0.884194
2,64,0.60,0.20,2002,1,1.3963,1.4793,1.2788,1.2794,1.5494,0.0645,0.276227,0.896723,0.622496,0.977968,0.933486
2,64,0.60,0.20,2003,1,1.3594,1.5286,1.2050,1.3593,1.5737,0.0957,0.152619,0.832869,0.390365,0.934394,0.813215
2,64,0.60,0.20,2004,1,1.3769,1.5119,1.2282,1.3764,1.5758,0.1035,0.486055,0.742984,0.353010,0.937777,0.878533
2,64,0.60,0.20,2005,1,1.3826,1.5015,1.2463,1.3065,1.5475,0.0742,0.353363,0.843439,0.591768,0.937382,0.877112
3,64,0.60,0.60,3001,1,1.3712,1.4234,0.8492,1.3991,1.2082,0.1152,0.332946,0.687969,0.268650,0.891513,0.498201
3,64,0.60,0.60,3002,1,1.3530,1.3487,0.7626,1.4230,1.3622,0.1289,0.232089,0.625939,0.468159,0.889913,0.676581
3,64,0.60,0.60,3003,1,1.3890,1.3260,0.7696,1.4356,1.1233,0.1348,0.222437,0.270042,0.118832,0.803392,0.495866
3,64,0.60,0.60,3004,1,1.3804,1.3667,0.7964,1.4389,1.1128,0.1367,0.338947,0.557898,0.481133,0.881187,0.662326
3,64,0.60,0.60,3005,1,1.3568,1.3704,0.7897,1.4218,1.0760,0.1270,0.453670,0.620952,0.436638,0.818959,0.709708
4,256,0.20,0.20,4001,1,1.5225,1.5230,1.5824,1.1494,1.5370,0.0264,0.658875,0.802195,0.570023,0.981740,0.896284
4,256,0.20,0.20,4002,1,1.5211,1.5383,1.5795,1.1825,1.5277,0.0347,0.668409,0.805821,0.615124,0.983320,0.919770
4,256,0.20,0.20,4003,1,1.5229,1.5053,1.5842,1.1770,1.5276,0.0332,0.653775,0.752434,0.638470,0.975601,0.837138
4,256,0.20,0.20,4004,1,1.5233,1.5199,1.5827,1.1935,1.5532,0.0376,0.683762,0.766210,0.619271,0.980677,0.885095
4,256,0.20,0.20,4005,1,1.5244,1.5372,1.5791,1.1825,1.5476,0.0347,0.548534,0.788617,0.650567,0.976341,0.860874
5,256,0.20,0.60,5001,1,1.5208,1.3343,1.1875,1.2325,1.3445,0.0488,0.628895,0.298669,0.404991,0.931692,0.454515
5,256,0.20,0.60,5002,1,1.5206,1.3363,1.1897,1.2076,1.3684,0.0415,0.744706,0.487249,0.552538,0.943591,0.736427
5,256,0.20,0.60,5003,1,1.5203,1.3746,1.2303,1.2089,1.2996,0.0420,0.646464,0.446262,0.303295,0.934887,0.518781
5,256,0.20,0.60,5004,1,1.5234,1.3610,1.2135,1.1947,1.3586,0.0381,0.676581,0.501446,0.554611,0.947595,0.414572
5,256,0.20,0.60,5005,1,1.5212,1.3558,1.2091,1.1888,1.2824,0.0366,0.654425,0.522625,0.464824,0.966777,0.734081
6,256,0.60,0.20,6001,1,1.3713,1.5286,1.2188,1.2051,1.5350,0.0410,0.195846,0.787158,0.436288,0.974810,0.894050
6,256,0.60,0.20,6002,1,1.3699,1.5135,1.2304,1.2126,1.5319,0.0430,0.401499,0.793808,0.426676,0.985509,0.913686
6,256,0.60,0.20,6003,1,1.3716,1.5341,1.2143,1.2249,1.5277,0.0469,0.357185,0.823328,0.605265,0.982505,0.938991
6,256,0.60,0.20,6004,1,1.3737,1.5214,1.2258,1.2145,1.5349,0.0439,0.218062,0.800096,0.586380,0.979708,0.901956
6,256,0.60,0.20,6005,1,1.3735,1.5076,1.2384,1.2186,1.5415,0.0449,0.305942,0.833798,0.295201,0.971507,0.883381
7,256,0.60,0.60,7001,1,1.3697,1.3386,0.7662,1.2719,1.3602,0.0615,0.433691,0.579824,0.329411,0.956178,0.622690
7,256,0.60,0.60,7002,1,1.3678,1.3962,0.8129,1.2597,1.2548,0.0576,0.278766,0.553298,0.265529,0.888287,0.510655
7,256,0.60,0.60,7003,1,1.3676,1.3420,0.7666,1.2700,1.3185,0.0610,0.355729,0.424490,0.274250,0.934301,0.563266
7,256,0.60,0.60,7004,1,1.3648,1.3988,0.8150,1.2573,1.3496,0.0566,0.455154,0.473285,0.434515,0.936017,0.672299
7,256,0.60,0.60,7005,1,1.3719,1.3762,0.8017,1.2950,1.3493,0.0698,0.153300,0.402215,0.326938,0.927635,0.576110
8,1024,0.20,0.20,8001,1,1.5221,1.5158,1.5834,1.0949,1.5445,0.0145,0.729090,0.825934,0.659711,0.988968,0.900753
8,1024,0.20,0.20,8002,1,1.5219,1.5175,1.5832,1.0937,1.5254,0.0143,0.768272,0.804806,0.717266,0.992357,0.907955
8,1024,0.20,0.20,8003,1,1.5221,1.5211,1.5828,1.0974,1.5468,0.0150,0.747047,0.743553,0.681509,0.990405,0.896539
8,1024,0.20,0.20,8004,1,1.5217,1.5210,1.5828,1.1118,1.5296,0.0179,0.734032,0.736238,0.549606,0.988258,0.878438
8,1024,0.20,0.20,8005,1,1.5219,1.5205,1.5828,1.0950,1.5220,0.0145,0.613626,0.767974,0.715712,0.990183,0.904278
9,1024,0.20,0.60,9001,1,1.5223,1.3640,1.2168,1.1260,1.3444,0.0210,0.757979,0.555867,0.429911,0.978668,0.822256
9,1024,0.20,0.60,9002,1,1.5215,1.3731,1.2271,1.1333,1.3487,0.0227,0.629386,0.456440,0.525076,0.978496,0.707103
9,1024,0.20,0.60,9003,1,1.5215,1.3706,1.2245,1.1406,1.3644,0.0243,0.637806,0.378489,0.538103,0.983449,0.580515
9,1024,0.20,0.60,9004,1,1.5219,1.3718,1.2254,1.1224,1.3554,0.0203,0.629618,0.480757,0.541303,0.972630,0.593926
9,1024,0.20,0.60,9005,1,1.5218,1.3788,1.2328,1.1336,1.3555,0.0227,0.566492,0.366096,0.412924,0.966097,0.648406
10,1024,0.60,0.20,10001,1,1.3708,1.5189,1.2262,1.1218,1.5500,0.0201,0.322496,0.752741,0.185979,0.978407,0.781173
10,1024,0.60,0.20,10002,1,1.3711,1.5248,1.2220,1.1202,1.5485,0.0198,0.268233,0.779756,0.373503,0.986002,0.879004
10,1024,0.60,0.20,10003,1,1.3709,1.5244,1.2221,1.1260,1.5220,0.0210,0.132777,0.724537,0.347876,0.982392,0.865067
10,1024,0.60,0.20,10004,1,1.3722,1.5168,1.2295,1.1406,1.5536,0.0243,0.355432,0.802844,0.529628,0.984274,0.888077
10,1024,0.60,0.20,10005,1,1.3702,1.5169,1.2275,1.1315,1.5525,0.0222,0.343135,0.836313,0.490369,0.989520,0.864747
11,1024,0.60,0.60,11001,1,1.3700,1.3599,0.7842,1.1798,1.3067,0.0339,0.368495,0.298711,0.187357,0.928876,0.510492
11,1024,0.60,0.60,11002,1,1.3713,1.3634,0.7880,1.1655,1.3187,0.0303,0.307281,0.408760,0.251793,0.958237,0.599618
11,1024,0.60,0.60,11003,1,1.3704,1.3849,0.8061,1.1789,1.3418,0.0337,0.284433,0.338812,0.292995,0.965521,0.563112
11,1024,0.60,0.60,11004,1,1.3700,1.3743,0.7963,1.1744,1.3203,0.0326,0.327875,0.496578,0.419772,0.965508,0.654794
11,1024,0.60,0.60,11005,1,1.3700,1.3592,0.7836,1.1644,1.3210,0.0300,0.312593,0.467378,0.363540,0.942267,0.538652
