config_idx,K,N,w_zero,a_zero,seed,ok_a_eq_b,ok_a_eq_skip,ok_a_eq_optimal,ok_a_eq_substrate,ok_a_eq_5in8,ok_a_eq_e,skip_rate,ms_a,ms_b,ms_skip,ms_optimal,ms_substrate,ms_5in8,ms_e
0,80,64,0.20,0.20,1,1,1,1,1,1,1,0.000000,3.918,4.144,5.224,2.389,1.722,1.375,2.947
0,80,64,0.20,0.20,2,1,1,1,1,1,1,0.000000,2.340,3.276,4.206,2.158,1.410,1.222,2.470
0,80,64,0.20,0.20,3,1,1,1,1,1,1,0.000000,2.011,2.932,3.840,2.059,1.245,1.082,2.209
0,80,64,0.20,0.20,4,1,1,1,1,1,1,0.000000,1.835,2.671,3.513,1.837,1.255,1.066,2.198
0,80,64,0.20,0.20,5,1,1,1,1,1,1,0.000000,1.824,2.646,3.528,1.821,1.218,1.069,2.176
1,80,64,0.20,0.60,1001,1,1,1,1,1,1,0.000000,1.827,2.696,3.596,1.897,1.232,1.067,2.179
1,80,64,0.20,0.60,1002,1,1,1,1,1,1,0.000000,1.816,2.742,3.588,1.826,1.252,1.069,2.187
1,80,64,0.20,0.60,1003,1,1,1,1,1,1,0.000000,1.835,2.732,3.606,1.835,1.257,1.067,2.187
1,80,64,0.20,0.60,1004,1,1,1,1,1,1,0.000000,1.894,2.736,3.619,1.840,1.250,1.070,2.293
1,80,64,0.20,0.60,1005,1,1,1,1,1,1,0.000000,1.831,2.729,3.645,1.869,1.282,1.057,2.191
2,80,64,0.60,0.20,2001,1,1,1,1,1,1,0.000000,1.843,2.742,3.657,1.862,1.256,1.057,2.360
2,80,64,0.60,0.20,2002,1,1,1,1,1,1,0.000000,1.819,2.742,3.633,1.869,1.256,1.057,2.208
2,80,64,0.60,0.20,2003,1,1,1,1,1,1,0.000000,1.843,2.769,3.660,1.848,1.252,1.058,2.198
2,80,64,0.60,0.20,2004,1,1,1,1,1,1,0.000000,1.845,2.757,3.714,1.818,1.217,1.057,2.202
2,80,64,0.60,0.20,2005,1,1,1,1,1,1,0.000000,1.818,2.731,3.674,1.830,1.237,1.055,2.190
3,80,64,0.60,0.60,3001,1,1,1,1,1,1,0.000000,1.819,2.746,3.659,1.841,1.243,1.056,2.194
3,80,64,0.60,0.60,3002,1,1,1,1,1,1,0.000000,1.848,2.873,3.630,1.857,1.273,1.058,2.191
3,80,64,0.60,0.60,3003,1,1,1,1,1,1,0.000000,1.852,2.800,3.633,1.841,1.250,1.060,2.188
3,80,64,0.60,0.60,3004,1,1,1,1,1,1,0.000000,1.831,2.753,3.672,1.851,1.255,1.056,2.198
3,80,64,0.60,0.60,3005,1,1,1,1,1,1,0.000000,1.819,2.744,3.645,1.848,1.301,1.089,2.199
4,320,64,0.20,0.20,4001,1,1,1,1,1,1,0.000000,7.191,10.871,14.451,7.307,5.456,4.077,8.734
4,320,64,0.20,0.20,4002,1,1,1,1,1,1,0.000000,7.228,10.899,14.325,7.047,5.427,4.021,8.488
4,320,64,0.20,0.20,4003,1,1,1,1,1,1,0.000000,7.187,10.859,14.635,7.289,5.641,4.079,8.803
4,320,64,0.20,0.20,4004,1,1,1,1,1,1,0.000000,7.389,11.010,14.722,7.426,5.700,4.096,8.923
4,320,64,0.20,0.20,4005,1,1,1,1,1,1,0.000000,7.350,11.044,14.493,7.254,5.533,4.118,8.784
5,320,64,0.20,0.60,5001,1,1,1,1,1,1,0.000000,7.260,11.020,14.647,7.290,5.579,4.093,8.761
5,320,64,0.20,0.60,5002,1,1,1,1,1,1,0.000000,7.271,11.053,14.745,7.307,5.633,4.175,8.732
5,320,64,0.20,0.60,5003,1,1,1,1,1,1,0.000000,7.301,10.977,14.750,7.369,5.601,4.107,8.834
5,320,64,0.20,0.60,5004,1,1,1,1,1,1,0.000000,7.287,11.040,14.754,7.362,5.652,4.096,8.756
5,320,64,0.20,0.60,5005,1,1,1,1,1,1,0.000000,7.272,11.004,14.760,7.320,5.622,4.139,8.764
6,320,64,0.60,0.20,6001,1,1,1,1,1,1,0.000781,7.230,11.032,14.937,7.333,5.599,4.118,8.729
6,320,64,0.60,0.20,6002,1,1,1,1,1,1,0.000000,7.312,11.050,14.236,7.012,5.522,4.025,8.807
6,320,64,0.60,0.20,6003,1,1,1,1,1,1,0.000781,7.239,10.989,14.877,7.392,5.625,4.169,8.838
6,320,64,0.60,0.20,6004,1,1,1,1,1,1,0.000000,7.367,11.102,15.039,7.523,5.548,4.114,8.859
6,320,64,0.60,0.20,6005,1,1,1,1,1,1,0.000000,7.311,11.128,14.036,7.233,5.436,4.077,8.785
7,320,64,0.60,0.60,7001,1,1,1,1,1,1,0.000781,7.311,11.089,14.954,7.426,5.583,4.111,8.962
7,320,64,0.60,0.60,7002,1,1,1,1,1,1,0.000000,7.335,11.163,14.920,7.518,5.549,4.165,8.848
7,320,64,0.60,0.60,7003,1,1,1,1,1,1,0.000000,7.328,11.217,15.024,7.366,5.633,4.188,8.915
7,320,64,0.60,0.60,7004,1,1,1,1,1,1,0.000000,7.298,11.101,15.090,7.393,5.660,4.029,8.886
7,320,64,0.60,0.60,7005,1,1,1,1,1,1,0.000000,7.187,11.107,14.889,7.534,5.762,4.155,8.928
8,1280,64,0.20,0.20,8001,1,1,1,1,1,1,0.000000,29.856,44.905,59.946,29.711,26.827,16.547,36.147
8,1280,64,0.20,0.20,8002,1,1,1,1,1,1,0.000000,29.483,44.202,57.205,29.076,26.085,16.180,34.980
8,1280,64,0.20,0.20,8003,1,1,1,1,1,1,0.000000,29.028,43.210,59.617,29.660,27.013,16.410,35.783
8,1280,64,0.20,0.20,8004,1,1,1,1,1,1,0.000000,28.866,43.948,58.958,29.485,26.470,16.385,35.534
8,1280,64,0.20,0.20,8005,1,1,1,1,1,1,0.000000,29.554,44.312,59.225,29.226,26.161,16.191,35.609
9,1280,64,0.20,0.60,9001,1,1,1,1,1,1,0.000000,29.695,44.696,59.760,29.382,25.968,16.014,34.934
9,1280,64,0.20,0.60,9002,1,1,1,1,1,1,0.000000,29.310,43.911,58.831,28.760,26.025,16.176,35.377
9,1280,64,0.20,0.60,9003,1,1,1,1,1,1,0.000000,29.476,44.522,59.441,29.638,26.507,16.503,35.815
9,1280,64,0.20,0.60,9004,1,1,1,1,1,1,0.000000,28.811,43.777,58.805,29.536,26.364,16.470,35.368
9,1280,64,0.20,0.60,9005,1,1,1,1,1,1,0.000000,29.458,44.376,59.441,29.693,26.715,16.413,35.498
10,1280,64,0.60,0.20,10001,1,1,1,1,1,1,0.000195,29.251,44.557,59.454,29.916,27.094,16.548,35.862
10,1280,64,0.60,0.20,10002,1,1,1,1,1,1,0.000195,29.818,45.103,60.526,30.018,27.107,16.502,35.948
10,1280,64,0.60,0.20,10003,1,1,1,1,1,1,0.000000,29.785,44.992,57.687,29.235,26.398,16.415,35.197
10,1280,64,0.60,0.20,10004,1,1,1,1,1,1,0.000000,28.453,44.194,59.521,29.743,26.652,16.452,35.704
10,1280,64,0.60,0.20,10005,1,1,1,1,1,1,0.000781,28.809,43.916,60.271,29.776,26.692,16.585,35.880
11,1280,64,0.60,0.60,11001,1,1,1,1,1,1,0.000195,29.555,44.469,59.782,29.735,26.892,16.468,35.764
11,1280,64,0.60,0.60,11002,1,1,1,1,1,1,0.000195,29.362,43.628,60.006,29.996,27.264,16.549,34.960
11,1280,64,0.60,0.60,11003,1,1,1,1,1,1,0.000391,29.619,44.586,60.098,29.757,26.752,16.448,35.608
11,1280,64,0.60,0.60,11004,1,1,1,1,1,1,0.000000,29.908,43.574,58.999,29.702,26.454,16.355,35.438
11,1280,64,0.60,0.60,11005,1,1,1,1,1,1,0.000195,29.571,44.595,58.933,29.803,27.006,16.525,35.979
12,12800,64,0.60,0.60,12001,1,1,1,1,1,1,0.000352,29.881,53.607,59.621,29.651,49.293,16.428,35.598
12,12800,64,0.60,0.60,12002,1,1,1,1,1,1,0.000371,29.480,54.567,59.922,29.772,49.462,16.400,35.750
12,12800,64,0.60,0.60,12003,1,1,1,1,1,1,0.000391,29.169,54.735,60.083,30.001,49.207,16.495,35.683
12,12800,64,0.60,0.60,12004,1,1,1,1,1,1,0.000332,29.694,55.075,60.316,30.146,49.137,15.972,34.997
12,12800,64,0.60,0.60,12005,1,1,1,1,1,1,0.000195,29.458,54.446,59.940,29.719,49.387,16.154,35.766
13,25600,64,0.60,0.60,13001,1,1,1,1,1,1,0.000342,29.878,55.261,59.840,29.903,52.508,16.559,35.767
13,25600,64,0.60,0.60,13002,1,1,1,1,1,1,0.000420,29.567,56.236,59.571,29.955,52.600,16.585,36.144
13,25600,64,0.60,0.60,13003,1,1,1,1,1,1,0.000234,29.851,56.329,60.200,30.018,52.761,16.098,35.046
13,25600,64,0.60,0.60,13004,1,1,1,1,1,1,0.000254,29.698,56.384,60.324,28.571,52.459,16.380,35.598
13,25600,64,0.60,0.60,13005,1,1,1,1,1,1,0.000264,29.573,56.149,60.228,29.950,52.413,16.506,35.835
14,51200,64,0.60,0.60,14001,1,1,1,1,1,1,0.000322,29.188,56.657,60.191,30.044,54.263,16.523,36.046
14,51200,64,0.60,0.60,14002,1,1,1,1,1,1,0.000220,29.772,59.522,60.860,30.210,54.219,16.624,35.991
14,51200,64,0.60,0.60,14003,1,1,1,1,1,1,0.000244,29.778,57.197,60.421,28.851,54.339,16.342,34.812
14,51200,64,0.60,0.60,14004,1,1,1,1,1,1,0.000356,29.592,57.029,60.662,29.550,54.156,16.457,35.754
14,51200,64,0.60,0.60,14005,1,1,1,1,1,1,0.000308,29.749,56.981,60.751,30.258,54.082,16.750,36.346
15,12800,8192,0.60,0.60,15001,1,1,1,1,1,1,0.000281,58.597,106.495,115.858,58.195,95.501,33.998,68.744
15,12800,8192,0.60,0.60,15002,1,1,1,1,1,1,0.000290,56.219,105.402,114.894,57.916,94.942,33.240,69.218
15,12800,8192,0.60,0.60,15003,1,1,1,1,1,1,0.000281,56.592,105.653,114.566,58.329,94.989,33.048,69.745
15,12800,8192,0.60,0.60,15004,1,1,1,1,1,1,0.000280,56.978,105.608,113.592,58.356,95.350,33.579,68.684
15,12800,8192,0.60,0.60,15005,1,1,1,1,1,1,0.000276,57.409,105.535,115.790,58.191,94.762,33.786,69.486
