
  L  site                   eps     sub_max      hf_max     fit_s
--------------------------------------------------------------------------------
  0  attn_sub_norm       0.2374 ?       0.057       0.059    0.9269
  0  ffn_sub_norm        0.2521 ?       7.043       0.742    0.1051
  0  gate                0.8671 ⚠  797161.499    1816.000    0.0020
  0  k_pre_rope          0.0405         8.929       8.812    1.0048
  0  q_pre_rope          0.0888 ?       7.084       7.188    0.9864
  0  up                  0.1286 ?    2080.538    2112.000    0.9998
  0  v                   0.0452        24.183      24.250    1.0008
  0  x_norm              0.1404 ?       4.991       4.938    0.9911
  0  x_norm_input        0.0065         0.076       0.077    0.9998
  1  attn_sub_norm       0.4593 ?       0.861       0.781    0.7179
  1  ffn_sub_norm        0.8166 ⚠       4.090       4.594    0.6659
  1  gate                0.9402 ⚠  356916.918     400.000    0.0020
  1  k_pre_rope          0.0857 ?       5.364       5.812    1.0601
  1  q_pre_rope          0.1423 ?       4.888       4.906    1.0359
  1  up                  0.7693 ⚠     391.737     324.000    0.5474
  1  v                   0.1759 ?       7.747       8.500    0.9763
  1  x_norm              0.8374 ⚠       5.907       2.719    0.4710
  1  x_norm_input        0.2198 ?       0.069       0.070    0.9627
  2  attn_sub_norm       0.7998 ⚠       1.862       1.391    0.4357
  2  ffn_sub_norm        0.8288 ⚠       3.090       4.656    0.8633
  2  gate                0.8761 ⚠  173457.967     436.000    0.0053
  2  k_pre_rope          0.4050 ?       4.897       6.312    1.0360
  2  q_pre_rope          0.6325 ⚠       3.559       4.281    0.8877
  2  up                  0.7054 ⚠     278.351     249.000    0.7158
  2  v                   0.3919 ?      23.584      33.000    1.2176
  2  x_norm              0.8250 ⚠       3.839       2.750    0.5292
  2  x_norm_input        0.8194 ⚠       0.089       0.100    0.5741
  3  attn_sub_norm       0.6801 ⚠       1.891       1.695    0.7229
  3  ffn_sub_norm        0.8049 ⚠      13.789       8.688    0.7760
  3  gate                0.8306 ⚠  149283.123     456.000    0.0065
  3  k_pre_rope          0.3919 ?       4.679       5.875    0.9578
  3  q_pre_rope          0.5483 ⚠       2.588       3.547    0.9849
  3  up                  0.6769 ⚠     287.200     280.000    0.8304
  3  v                   0.6628 ⚠       8.684       7.031    0.8121
  3  x_norm              0.7915 ⚠       4.029       2.891    0.6428
  3  x_norm_input        0.8010 ⚠       0.067       0.068    0.6177
  4  attn_sub_norm       0.8209 ⚠       2.551       1.766    0.5405
  4  ffn_sub_norm        0.8712 ⚠      16.251      23.000    0.7463
  4  gate                0.9123 ⚠  258342.813     432.000    0.0043
  4  k_pre_rope          0.4437 ?       6.170       6.219    0.9214
  4  q_pre_rope          0.5807 ⚠       3.596       3.562    0.8972
  4  up                  0.6826 ⚠     385.259     436.000    0.8319
  4  v                   0.6151 ⚠      12.581      16.875    0.9803
  4  x_norm              0.7667 ⚠       3.723       3.297    0.7250
  4  x_norm_input        0.7682 ⚠       0.087       0.085    0.7278
  5  attn_sub_norm       0.8721 ⚠       2.707       2.156    0.4243
  5  ffn_sub_norm        0.8996 ⚠      15.337       9.312    0.5796
  5  gate                0.9199 ⚠  168079.753     456.000    0.0040
  5  k_pre_rope          0.5010 ⚠       5.004       5.062    0.9355
  5  q_pre_rope          0.6353 ⚠       2.884       3.500    0.8580
  5  up                  0.6882 ⚠     383.986     486.000    0.8567
  5  v                   0.6839 ⚠       7.781      10.250    0.9375
  5  x_norm              0.7949 ⚠       4.071       3.922    0.6767
  5  x_norm_input        0.8029 ⚠       0.060       0.054    0.6982
  6  attn_sub_norm       0.8826 ⚠       2.371       2.188    0.5498
  6  ffn_sub_norm        0.9239 ⚠      14.308      12.000    0.3766
  6  gate                0.9515 ⚠  116912.401     418.000    0.0042
  6  k_pre_rope          0.5007 ⚠       6.919       6.469    0.9480
  6  q_pre_rope          0.6086 ⚠       4.333       4.719    0.8533
  6  up                  0.7092 ⚠     339.797     396.000    0.8197
  6  v                   0.7607 ⚠       6.454       6.750    0.7855
  6  x_norm              0.7893 ⚠       4.187       4.062    0.6778
  6  x_norm_input        0.7842 ⚠       0.059       0.056    0.6872
  7  attn_sub_norm       0.8260 ⚠       3.150       2.859    0.5409
  7  ffn_sub_norm        0.8778 ⚠      15.877      13.000    0.4018
  7  gate                0.9335 ⚠  202843.355     494.000    0.0040
  7  k_pre_rope          0.5488 ⚠       5.789       7.656    1.0241
  7  q_pre_rope          0.6509 ⚠       3.648       3.906    0.8412
  7  up                  0.6981 ⚠     389.060     496.000    0.8282
  7  v                   0.8109 ⚠       5.868       7.625    0.6985
  7  x_norm              0.7989 ⚠       4.569       3.594    0.6481
  7  x_norm_input        0.8153 ⚠       0.061       0.055    0.6417
  8  attn_sub_norm       0.8819 ⚠       4.127       2.484    0.3059
  8  ffn_sub_norm        0.8123 ⚠      24.902      51.750    0.6652
  8  gate                0.9137 ⚠  173966.802     472.000    0.0034
  8  k_pre_rope          0.4975 ?       5.969       8.562    1.0098
  8  q_pre_rope          0.6525 ⚠       3.449       4.031    0.8817
  8  up                  0.7154 ⚠     389.010     414.000    0.7296
  8  v                   0.8193 ⚠       6.730      10.562    0.6563
  8  x_norm              0.8018 ⚠       4.121       3.641    0.6114
  8  x_norm_input        0.8000 ⚠       0.059       0.056    0.6271
  9  attn_sub_norm       0.8141 ⚠       4.153       3.906    0.6492
  9  ffn_sub_norm        0.9057 ⚠      15.180      25.250    0.5929
  9  gate                0.8945 ⚠  184635.842     354.000    0.0034
  9  k_pre_rope          0.4518 ?       5.751       5.562    0.8712
  9  q_pre_rope          0.5900 ⚠       3.776       3.703    0.8160
  9  up                  0.6736 ⚠     410.945     390.000    0.7452
  9  v                   0.7031 ⚠       7.757      10.875    0.7646
  9  x_norm              0.7621 ⚠       3.624       3.656    0.6636
  9  x_norm_input        0.7656 ⚠       0.048       0.049    0.6732
 10  attn_sub_norm       0.8204 ⚠       5.704       3.875    0.4725
 10  ffn_sub_norm        0.9320 ⚠      37.814      35.000    0.4027
 10  gate                0.9088 ⚠  144972.912     370.000    0.0037
 10  k_pre_rope          0.5707 ⚠       5.796       7.000    0.8663
 10  q_pre_rope          0.6273 ⚠       3.813       4.219    0.8300
 10  up                  0.7225 ⚠     433.134     352.000    0.7091
 10  v                   0.7703 ⚠       5.762       6.375    0.6636
 10  x_norm              0.7966 ⚠       3.434       4.062    0.6350
 10  x_norm_input        0.7913 ⚠       0.050       0.053    0.6546
 11  attn_sub_norm       0.9716 ⚠       4.525       7.625    0.2888
 11  ffn_sub_norm        0.9136 ⚠      47.331      32.250    0.4358
 11  gate                0.8811 ⚠  160284.351     474.000    0.0035
 11  k_pre_rope          0.6176 ⚠       6.261       5.531    0.7874
 11  q_pre_rope          0.7066 ⚠       2.962       3.797    0.7029
 11  up                  0.7309 ⚠     437.949     478.000    0.6894
 11  v                   0.8548 ⚠       9.005       7.469    0.5399
 11  x_norm              0.8313 ⚠       3.827       3.672    0.5748
 11  x_norm_input        0.8302 ⚠       0.043       0.047    0.5842
 12  attn_sub_norm       0.9007 ⚠       6.105       7.781    0.3641
 12  ffn_sub_norm        0.8246 ⚠      54.382      62.500    0.6733
 12  gate                0.8630 ⚠  273028.469     520.000    0.0031
 12  k_pre_rope          0.5923 ⚠       5.820       6.375    0.8301
 12  q_pre_rope          0.6605 ⚠       3.336       3.750    0.7916
 12  up                  0.7329 ⚠     456.206     508.000    0.6648
 12  v                   0.8176 ⚠       6.708       7.844    0.5311
 12  x_norm              0.8306 ⚠       3.602       3.547    0.5719
 12  x_norm_input        0.8322 ⚠       0.037       0.038    0.5739
 13  attn_sub_norm       0.9192 ⚠       6.863       5.219    0.2542
 13  ffn_sub_norm        0.8591 ⚠      36.062      59.250    0.6404
 13  gate                0.8537 ⚠  210551.317     428.000    0.0033
 13  k_pre_rope          0.5210 ⚠       5.720       6.281    0.8492
 13  q_pre_rope          0.6097 ⚠       4.026       4.156    0.7982
 13  up                  0.7254 ⚠     518.409     470.000    0.6627
 13  v                   0.8228 ⚠       6.445       7.688    0.5576
