
══ x_norm sparsity (% zero cells) ══
  layer     min     p10     p50     p90     max      frac≥92.0%
      0    0.00    0.00    0.00    0.04    0.04      0 / 56   
      1    0.00    0.00    0.00    0.04    0.08      0 / 56   
      2    0.00    0.00    0.00    0.04    0.08      0 / 56   
      3    0.00    0.00    0.00    0.04    0.08      0 / 56   
      4    0.00    0.00    0.00    0.02    0.08      0 / 56   
      5    0.00    0.00    0.00    0.04    0.12      0 / 56   
      6    0.00    0.00    0.00    0.04    0.23      0 / 56   
      7    0.00    0.00    0.00    0.04    0.04      0 / 56   
      8    0.00    0.00    0.00    0.04    0.04      0 / 56   
      9    0.00    0.00    0.00    0.04    0.12      0 / 56   
     10    0.00    0.00    0.00    0.04    0.16      0 / 56   
     11    0.00    0.00    0.00    0.04    0.08      0 / 56   
     12    0.00    0.00    0.00    0.04    0.08      0 / 56   
     13    0.00    0.00    0.00    0.04    0.08      0 / 56   
     14    0.00    0.00    0.00    0.04    0.04      0 / 56   
     15    0.00    0.00    0.00    0.04    0.12      0 / 56   
     16    0.00    0.00    0.00    0.04    0.08      0 / 56   
     17    0.00    0.00    0.00    0.04    0.08      0 / 56   
     18    0.00    0.00    0.00    0.04    0.08      0 / 56   
     19    0.00    0.00    0.00    0.04    0.08      0 / 56   
     20    0.00    0.00    0.00    0.04    0.08      0 / 56   
     21    0.00    0.00    0.00    0.04    0.12      0 / 56   
     22    0.00    0.00    0.00    0.04    0.12      0 / 56   
     23    0.00    0.00    0.00    0.04    0.08      0 / 56   
     24    0.00    0.00    0.00    0.04    0.08      0 / 56   
     25    0.00    0.00    0.00    0.04    0.08      0 / 56   
     26    0.00    0.00    0.00    0.04    0.04      0 / 56   
     27    0.00    0.00    0.00    0.04    0.08      0 / 56   
     28    0.00    0.00    0.00    0.04    0.08      0 / 56   
     29    0.00    0.00    0.00    0.04    0.08      0 / 56   

  Across all (layer, position, prompt): min 0.00%, median 0.00%, max 0.23%
  Pairs ≥ 92.0%: 0 / 1680 (0.0%)

══ attn_sub_norm sparsity (% zero cells) ══
  layer     min     p10     p50     p90     max      frac≥92.0%
      0   11.02   11.80   13.18   13.89   14.26      0 / 56   
