code_comment	perQ	304 36488 2015 198 633 2 22854 220 16 512 755 3460 62 16 67 3943 11179 997 262 471 2961 271 262 711 3460 62 16 67 3943 11179 997 286 471 2961 271 2 22854 220 17 512 262 711 3460 62 16 67 3943 62 17 67 11179 997 286 2961 10838 746 286 471 2961 271
code_comment	500	304 36488 2015 198 633 322 5830 311 3460 459 1358 315 26864 304 36488 2015 198 1723 3460 1895 11179 8 341 262 1095 2479 284 2961 1996 280 262 1095 58050 280 262 1095 602 284 220 15 280 262 1418 320 72 366 2479 8 341 286 422 320 1138 1004 60 871 2961 1004 489 220
code_comment	1000	304 36488 2015 198 633 2 13325 12761 512 755 3460 3943 11179 997 262 471 10839 11179 696 2 3475 279 734 198 1374 48098 3943 2625 20 11 220 17 11 220 23 11 220 16 11 220 24 11 220 18 2526 220 674 9442 25 510 16 11 220 17 11 220 18 11 220 20
code_comment	2000	304 36488 2015 198 633 755 4062 7003 11179 997 262 422 2479 11179 8 2717 220 16 512 286 471 2961 198 262 27137 284 2961 58 15 933 262 2163 284 510 87 369 865 304 2961 422 865 366 27137 933 262 1314 284 510 87 369 865 304 2961 422 865 871 27137 933 262 471
code_comment	5000	304 36488 2015 1701 279 4062 7003 12384 627 262 482 578 4062 7003 12384 374 264 22497 9976 15204 16339 12384 430 4375 555 27397 264 364 69541 6 2449 505 279 1358 323 17071 287 279 1358 1139 1403 75212 627 16533 25 220 16 13 633 567 7927 29020 11 220 18 13 578 4320 374 279
code_loop	perQ	220 674 22070 1555 279 5219 220 15 311 220 24 198 262 369 503 304 2134 7 605 1680 220 674 22070 1555 279 5219 220 15 311 220 24 198 220 369 602 304 2134 7 605 997 262 1194 968 14461 72 92 374 264 10461 1396 1158 220 369 602 304 2134 7 605 997 262
code_loop	500	1194 1998 340 14196 19884 2028 690 1194 279 5219 505 220 15 311 220 24 382 14428 25 358 3619 430 11 719 1148 422 358 1390 311 1194 279 5219 505 220 15 311 220 24 11 719 304 10134 2015 1980 14428 25 720 74694 12958 198 2000 602 304 2134 7 605 1680 1194 1998 11
code_loop	1000	1194 1998 340 14196 19884 644 420 3187 11 584 527 1701 264 369 6471 311 30729 927 264 2134 315 5219 505 220 15 311 220 24 13 1115 374 264 4382 3187 315 1268 311 1005 264 369 6471 311 30729 927 264 2134 315 5219 13 1226 649 1101 1005 279 369 6471 311 30729 927 264
code_loop	2000	1194 1998 340 14196 19884 644 420 3187 11 584 617 264 1160 315 5219 505 220 15 311 220 24 13 1226 30729 927 279 1160 1701 264 369 6471 11 323 369 1855 1396 11 584 1194 279 1396 323 1202 9518 382 74694 12958 198 755 9518 34064 4019 262 369 602 304 2134 7 605 997
code_loop	5000	220 674 22070 1555 279 5219 220 15 311 220 24 198 286 1194 1998 340 286 1194 446 9906 11 4435 23849 286 1194 446 9906 11 4435 23849 286 1194 446 9906 11 4435 23849 286 1194 446 9906 11 4435 23849 286 1194 446 9906 11 4435 23849 286 1194 446 9906 11 4435 23849 286 1194
