prompt_len	mode	k	gen	gen_loop_s	sec_per_token
32	dense	-	32	11.7590	0.3675
32	routed_k16	16	32	11.6258	0.3633
32	routed_k4	4	32	11.6596	0.3644
64	dense	-	32	11.7020	0.3657
64	routed_k16	16	32	11.7368	0.3668
64	routed_k4	4	32	11.7572	0.3674
128	dense	-	32	11.8057	0.3689
128	routed_k16	16	32	11.8232	0.3695
128	routed_k4	4	32	11.7902	0.3684
256	dense	-	32	11.9187	0.3725
256	routed_k16	16	32	11.8652	0.3708
256	routed_k4	4	32	13.8859	0.4339
512	dense	-	32	936.7428	29.2732
512	routed_k16	16	32	11.7320	0.3666
512	routed_k4	4	32	11.6049	0.3627
1024	dense	-	32	11.7417	0.3669
1024	routed_k16	16	32	11.7460	0.3671
1024	routed_k4	4	32	11.7308	0.3666
