prompt_len	mode	k	trial	total_s_per_tok	attn_s_per_tok	attn_fraction
64	dense	-	1	0.3660	0.0015	0.004
64	dense	-	2	0.3666	0.0015	0.004
64	dense	-	3	0.3665	0.0015	0.004
64	routed_k4	4	1	0.3678	0.0014	0.004
64	routed_k4	4	2	0.3670	0.0013	0.004
64	routed_k4	4	3	0.3677	0.0014	0.004
256	dense	-	1	0.3725	0.0057	0.015
256	dense	-	2	0.3724	0.0057	0.015
256	dense	-	3	0.3725	0.0057	0.015
256	routed_k4	4	1	0.3710	0.0038	0.010
256	routed_k4	4	2	0.3711	0.0037	0.010
256	routed_k4	4	3	0.3705	0.0037	0.010
512	dense	-	1	0.3769	0.0113	0.030
512	dense	-	2	0.3809	0.0113	0.030
512	dense	-	3	0.3774	0.0113	0.030
512	routed_k4	4	1	0.3727	0.0065	0.017
512	routed_k4	4	2	0.3725	0.0065	0.017
512	routed_k4	4	3	0.3723	0.0065	0.017
1024	dense	-	1	0.3950	0.0240	0.061
1024	dense	-	2	0.3912	0.0242	0.062
1024	dense	-	3	0.3956	0.0242	0.061
1024	routed_k4	4	1	0.3790	0.0125	0.033
1024	routed_k4	4	2	0.3798	0.0126	0.033
1024	routed_k4	4	3	0.3790	0.0125	0.033
